statefips,year,ajd_total,jdd_total,ajd_female,ajd_male,jdd_female,jdd_male,pop_total,pop_female,pop_male
,1989,0,0,0,0,0,0,0,0,0
2,1990,0,0,0,0,0,0,5816,2798,3018
4,1990,0,0,0,0,0,0,122027,59909,62118
8,1990,0,0,0,0,0,0,1065178,536658,528520
15,1990,-1417,2348,0,0,0,0,1113491,546846,566645
46,1990,0,0,0,0,0,0,9937,4906,5031
51,1990,-18305,40782,-7901.861322402954,-7140.13858628273,17298.25381094217,20744.7468187809,2551541,1298848,1252693
72,1990,0,0,0,0,0,0,0,0,0
,1990,0,0,0,0,0,0,0,0,0
1,1991,-14456,59373,-5826.194716334343,-6036.805575370789,25651.48220348358,29978.51975059509,4050055,2109548,1940507
2,1991,-640,9207,-239.3521394729614,-302.6478071212769,4021.9006690979,3977.099024772644,553290,261630,291660
4,1991,-21408,77289,-11479.20938897133,-8689.793632268906,30894.19160795212,41593.81025362015,3684097,1863454,1820643
5,1991,-13143,30830,-4514.475068867207,-4902.524356663227,12376.2463452816,14671.75351428986,2356586,1220423,1136163
6,1991,-145201,639292,-59056.34817314148,-70292.65195608139,268497.4565095901,345525.5541009903,29959515,14958261,15001254
8,1991,-15887,75412,-3790.967718049884,-3892.032303869724,22727.06954300404,26291.9312915802,3307618,1668681,1638937
9,1991,13603,86061,6392.360385894775,9423.637228012085,37882.88912963867,45368.10949707031,3291967,1696837,1595130
10,1991,-942,14394,294.8753662109375,-759.8755798339844,7202.450744628906,6551.549743652344,669567,344859,324708
11,1991,-2340,17627,-1053.662719726563,-419.3371887207031,8320.56640625,8700.43359375,605321,323226,282095
12,1991,-72717,298328,-39813.44770520926,-33856.55216646194,122868.9398846626,158178.0587234497,13033307,6720984,6312323
13,1991,-26572,140163,-12046.89509889483,-9059.105407267809,60252.15989279747,68267.83889520168,6512602,3350484,3162118
15,1991,-9597,20298,0,0,0,0,1113491,546846,566645
16,1991,-5037,14317,-1709.356725156307,-2909.643132328987,5787.208072662354,5799.792204141617,1012384,508485,503899
17,1991,-47386,189706,-19580.70535236597,-21262.29608333111,84169.54474163055,94636.45755624771,11453316,5889317,5563999
18,1991,-25354,81512,-11216.48389714956,-10572.51587578654,35148.54918718338,40010.44964313507,5557798,2862792,2695006
19,1991,-12534,33784,-4294.575351148844,-3983.424722403288,13974.02501553297,15133.97462677956,2781018,1433889,1347129
20,1991,-7133,40547,-2719.541527077556,-2986.458306640387,16769.53158092499,18866.46841430664,2481349,1264511,1216838
21,1991,-15910,52162,-7025.687695086002,-6161.312236919999,19022.92702808976,24726.07236075401,3694048,1904488,1789560
22,1991,-12417,64986,-4127.032147705555,-6845.967213511467,26499.35581403971,33744.64304542542,4221532,2189779,2031753
23,1991,-2213,22113,-1952.957290649414,-352.0428982377052,8856.334014892578,12496.66653442383,1231719,632071,599648
24,1991,-18713,90522,-5962.839294433594,-8200.1606361866,39455.84923934937,47175.15046691895,4799770,2472222,2327548
25,1991,11570,142681,-369.4746680259705,14646.4741897583,60283.94325256348,78624.05472564697,6022639,3130631,2892008
26,1991,-57072,135887,-25251.80081272125,-21510.19843685627,56620.67251050472,64574.32748746872,9311319,4789744,4521575
27,1991,-10891,77686,-4114.097857967019,-3411.902120113373,32581.24010539055,37239.7596783638,4389857,2236768,2153089
28,1991,-7846,33674,-3179.764410294592,-2805.235586060211,12755.44821929932,15875.55129623413,2578897,1344695,1234202
29,1991,-23411,85712,-10878.56794899702,-9095.431822478771,36554.23223102093,40925.768861413,5128880,2658349,2470531
30,1991,-2101,9866,-777.9556802511215,-751.0442678928375,3667.57705783844,4169.422943353653,800204,403713,396491
31,1991,-9995,20109,-5025.679231829941,-3327.321176469326,8108.642841637135,9428.357611179352,1581660,810375,771285
32,1991,-10394,26256,-4555.229006767273,-5227.770386695862,10044.65551304817,13010.34613919258,1220695,599136,621559
33,1991,1883,28352,-976.804105758667,2668.804081320763,11372.52847290039,15708.47106933594,1112384,567242,545142
34,1991,-37676,157958,-19871.47066497803,-7693.530158996582,64837.72773742676,87673.27375793457,7762963,4010511,3752452
35,1991,-5553,23076,-2810.034569501877,-2541.965249300003,9390.189929485321,12277.81012582779,1521574,772966,748608
36,1991,-29612,339205,-27547.10672323406,-6699.893954277039,141146.8636102676,177932.1444702148,18020784,9379488,8641296
37,1991,-33357,115575,-14759.88010413945,-13604.12000823021,49461.15613126755,58527.84475588799,6664016,3432492,3231524
38,1991,-981,7762,-429.9621235728264,-240.0378822088242,2737.730634272099,3142.269376039505,637685,319949,317736
39,1991,-47330,162860,-21541.96779627353,-15629.03232753277,69344.69005203247,83897.30929970741,10864162,5629383,5234779
40,1991,-8781,50065,-5698.279587447643,-1036.720349878073,21286.33294713497,24124.66761779785,3148825,1615926,1532899
41,1991,-9089,53628,-2538.298485562205,-4657.701412677765,24685.46640491486,26432.53375911713,2860375,1453916,1406459
42,1991,-32369,176079,-17105.82439887524,-13255.17511725426,74574.08021950722,92222.91758537292,11903299,6197771,5705528
44,1991,-2046,19313,-1172.156497955322,-580.8434600830078,8318.418212890625,10567.58227539063,1005995,523245,482750
45,1991,-25972,57429,-9340.400285795331,-10928.60052463412,24754.72907876968,29813.27033233643,3501155,1805752,1695403
46,1991,-2430,10446,-789.1299132406712,-877.8703631609678,4242.455882072449,3759.544231414795,697101,353872,343229
47,1991,-23432,87947,-12959.27351492643,-11182.72671449184,35129.84955310822,41154.14940810204,4894492,2536829,2357663
48,1991,-62444,371058,-32971.78089138865,-22241.21921564639,150073.2958958149,190707.7104603052,17056755,8653956,8402799
49,1991,-7212,29048,-3317.033471107483,-2782.966497182846,11507.29864215851,15040.69996786118,1731223,871143,860080
