"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Births"
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"15-19 years"	"15-19"	372
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"20-24 years"	"20-24"	1345
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"25-29 years"	"25-29"	1510
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"30-34 years"	"30-34"	1075
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"35-39 years"	"35-39"	436
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"40-44 years"	"40-44"	62
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"January"	"1"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"15-19 years"	"15-19"	347
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"20-24 years"	"20-24"	1336
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"25-29 years"	"25-29"	1404
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"30-34 years"	"30-34"	1105
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"35-39 years"	"35-39"	441
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"40-44 years"	"40-44"	76
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"February"	"2"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"15-19 years"	"15-19"	373
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"20-24 years"	"20-24"	1271
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"25-29 years"	"25-29"	1470
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"30-34 years"	"30-34"	1156
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"35-39 years"	"35-39"	466
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"40-44 years"	"40-44"	78
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"March"	"3"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"15-19 years"	"15-19"	335
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"20-24 years"	"20-24"	1210
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"25-29 years"	"25-29"	1419
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"30-34 years"	"30-34"	1053
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"35-39 years"	"35-39"	441
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"40-44 years"	"40-44"	62
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"April"	"4"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"15-19 years"	"15-19"	356
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"20-24 years"	"20-24"	1213
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"25-29 years"	"25-29"	1583
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"30-34 years"	"30-34"	1083
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"35-39 years"	"35-39"	471
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"40-44 years"	"40-44"	87
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"May"	"5"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"15-19 years"	"15-19"	393
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"20-24 years"	"20-24"	1329
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"25-29 years"	"25-29"	1613
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"30-34 years"	"30-34"	1146
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"35-39 years"	"35-39"	491
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"40-44 years"	"40-44"	67
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"June"	"6"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	"15-19 years"	"15-19"	358
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	"20-24 years"	"20-24"	1384
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	"25-29 years"	"25-29"	1631
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	"30-34 years"	"30-34"	1126
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	"35-39 years"	"35-39"	453
