month,AK,AL,AZ,CA,CO,CT,FL,HI,IA,ID,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,NC,ND,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI,WV
1990-1,,,,,,,,,,,,,,,,,1178.0,,,,,,,,,,,,,,,,,,,,,,
1990-2,,,,,,,,,,,,,,,,,411.0,,,,,,,,,,,,,,,,,,,,,,
1990-3,,,,,,,,,,,,,,,,,988.0,,,,,,,,,,,,,,,,,,,,,,
1990-4,,,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,,,,,,,,,,,
1990-5,,,,,,,,,,,,,,,,,1707.0,,,,,,,,,,,,,,,,,,,,,,
1990-6,,,,,,,,,,,,,,,,,367.0,,,,,,,,,,,,,,,,,,,,,,
1990-7,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1990-8,,,,,,,,,,,,,,,,,316.0,,,,,,,,,,,,,,,,,,,,,,
1990-9,,,,,,,,,,,,,,,,,698.0,,,,,,,,,,,,,,,,,,,,,,
1990-10,,,,,,,,,,,,,,,,,3246.0,,,,,,,,,,,,,,,,,,,,,,
1990-11,,,,,,,,,,,,,,,,,1631.0,,,,,,,,,,,,,,,,,,,,,,
1990-12,,,,,,,,,,,,,,,,,1039.0,,,,,,,,,,,,,,,,,,,,,,
1991-1,,,,,,,,,,,,,,,,,1130.0,,,,,,,,,,,,,,,,,,,,,,
1991-2,,,,,,,,,,,,,,,,,2732.0,,,,,,,,,,,,,,,,,,,,,,
1991-3,,,,,,,,,,,,,,,,,2876.0,,,,,,,,,,,,,,,,,,,,,,
1991-4,,,,,,,,,,,,,,,,,321.0,,,,,,,,,,,,,,,,,,,,,,
1991-5,,,,,,,,,,,,,,,,,3163.0,,,,,,,,,,,,,,,,,,,,,,
1991-6,,,,,,,,,,,,,,,,,933.0,,,,,,,,,,,,,,,,,,,,,,
1991-7,,,,,,,,,,,,,,,,,1344.0,,,,,,,,,,,,,,,,,,,,,,
1991-8,,,,,,,,,,,,,,,,,679.0,,,,,,,,,,,,,,,,,,,,,,
1991-9,,,,,,,,,,,,,,,,,512.0,,,,,,,,,,,,,,,,,,,,,,
1991-10,,,,,,,,,,,,,,,,,1606.0,,,,,,,,,,,,,,,,,,,,,,
1991-11,,,,,,,,,,,,,,,,,458.0,,,,,,,,,,,,,,,,,,,,,,
1991-12,,,,,,,,,,,,,,,,,1332.0,,,,,,,,,,,,,,,,,,,,,,
1992-1,,,,,,,,,,,,,,,,,643.0,,,,,,,,,,,,,,,,,,,,,,
1992-2,,,,,,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,,,,,,,
1992-3,,,,,,,,,,,,,,,,,1169.0,,,,,,,,,,,,,,,,,,,,,,
1992-4,,,,,,,,,,,,,,,,,295.0,,,,,,,,,,,,,,,,,,,,,,
1992-5,,,,,,,,,,,,,,,,,355.0,,,,,,,,,,,,,,,,,,,,,,
1992-6,,,,,,,,,,,,,,,,,575.0,,,,,,,,,,,,,,,,,,,,,,
1992-7,,,,,,,,,,,,,,,,,659.0,,,,,,,,,,,,,,,,,,,,,,
1992-8,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,
1992-9,,,,,,,,,,,,,,,,,913.0,,,,,,,,,,,,,,,,,,,,,,
1992-10,,,,,,,,,,,,,,,,,891.0,,,,,,,,,,,,,,,,,,,,,,
1992-11,,,,,,,,,,,,,,,,,12004.0,,,,,,,,,,,,,,,,,,,,,,
1992-12,,,,,,,,,,,,,,,,,1362.0,,,,,,,,,,,,,,,,,,,,,,
1993-1,,,,,,,,,,,,,,,,,179.0,,,,,,,,,,,,,,,,,,,,,,
1993-2,,,,,,,,,,,,,,,,,2422.0,,,,,,,,,,,,,,,,,,,,,,
1993-3,,,,,,,,,,,,,,,,,1053.0,,,,,,,,,,,,,,,,,,,,,,
1993-4,,,,,,,,,,,,,,,,,2016.0,,,,,,,,,,,,,,,,,,,,,,
1993-5,,,,,,,,,,,,,,,,,4379.0,,,,,,,,,,,,,,,,,,,,,,
1993-6,,,,,,,,,,,,,,,,,258.0,,,,,,,,,,,,,,,,,,,,,,
1993-7,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,
1993-8,,,,,,,,,,,,,,,,,168.0,,,,,,,,,,,,,,,,,,,,,,
1993-9,,,,,,,,,,,,,,,,,469.0,,,,,,,,,,,,,,,,,,,,,,
1993-10,,,,,,,,,,,,,,,,,511.0,,,,,,,,,,,,,,,,,,,,,,
1993-11,,,,,,,,,,,,,,,,,2683.0,,,,,,,,,,,,,,,,,,,,,,
1993-12,,,,,,,,,,,,,,,,,249.0,,,,,,,,,,,,,,,,,,,,,,
1994-1,,,,,,,,,,,,,,,,,284.0,,,,,,,,,,,,,,,,,,,,,,
1994-2,,,,,,,,,,,,,,,,,441.0,,,,,,,,,,,,,,,,,,,,,,
1994-3,,,,,,,,,,,,,,,,,154.0,,,,,,,,,,,,,,,,,,,,,,
1994-4,,,,,,,,,,,,,,,,,407.0,,,,,,,,,,,,,,,,,,,,,,
1994-5,,,,,,,,,,,,,,,,,1116.0,,,,,,,,,,,,,,,,,,,,,,
1994-6,,,,,,,,,,,,,,,,,607.0,,,,,,,,,,,,,,,,,,,,,,
1994-7,,,,,,,,,,,,,,,,,352.0,,,,,,,,,,,,,,,,,,,1287.0,,,
1994-8,,,,,,,,,,,,,,,,,347.0,,,,,,,,,,,,,,,,,,,1493.0,,,
1994-9,,,,,,,,,,,,,,,,,354.0,,,,,,,,,,,,,,,,,,,1944.0,,,
1994-10,,,,,,,,,,,,,,,,,912.0,,,,,,,,,,,,,,,,,,,527.0,,,
1994-11,,,,,,,,,,,,,,,,,278.0,,,,,,,,,,,,,,,,,,,413.0,,,
1994-12,,,,,,,,,,,,,,,,,459.0,,,,,,,,,,,,,,,,,,,78.0,,,
1995-1,,,,,,,,,,,,,,,,,529.0,,,,,,,,,,,,,,,,,,,2772.0,,,
1995-2,,,,,,,,,,,,,,,,,718.0,,,,,,,,,,,,,,,,,,,927.0,,,
1995-3,,,,,,,,,,,,,,,,,718.0,,,,,,,,,,,,,,,,,,,998.0,,,
1995-4,,,,,,,,,,,,,,,,,1736.0,,,,,,,,,,,,,,,,,,,693.0,,,
1995-5,,,,,,,,,,,,,,,,,964.0,,,,,,,,,,,,,,,,,,,245.0,,,
1995-6,,,,,,,,,,,,,,,,,550.0,,,,,,,,,,,,,,,,,,,2415.0,,,
1995-7,,,,,,,,,,,,,,,,,1600.0,,,,,,,,,,,,,,,,,,,2099.0,,,
1995-8,,,,,,,,,,,,,,,,,489.0,,,,,,,,,,,,,,,,,,,2045.0,,,
1995-9,,,,,,,,,,,,,,,,,1316.0,,,,,,,,,,,,,,,,,,,202.0,,,
1995-10,,,,,,,,,,,,,,,,,1444.0,,,,,,,,,,,,,,,,,,,354.0,,,
1995-11,,,,,,,,,,,,,,,,,2798.0,,,,,,,,,,,,,,,,,,,909.0,,,
1995-12,,,,,,,,,,,,,,,,,983.0,,,,,,,,,,,,,,,,,,,484.0,,,
1996-1,,,,,,,,,,,,,,,,,1456.0,,,,,,,,,,,,,,,,,,,140.0,,1273.0,
1996-2,,,,,,,,,,,,,,,,,1427.0,,,,,,,,,,,,,,,,,,,1112.0,,776.0,
1996-3,,,,,,,,,,,,,,,,,1040.0,,,,,,,,,,,,,,,,,,,2397.0,,261.0,
1996-4,,,,,,,,,,,,,,,,,732.0,,,,,,,,,,,,,,,,,,,925.0,,1590.0,
1996-5,,,,,,,,,,,,,,,,,2899.0,,,,3025.0,,,,,,,,,,,,,,,633.0,,646.0,
1996-6,,,,,,,,,,,,,,,,,495.0,,,,2019.0,,,,,,,,,,,,,,,860.0,,632.0,
1996-7,,,,,,,,,,,,,,,,,351.0,,,,853.0,,,,,,340.0,,,,,,,,,698.0,,969.0,
1996-8,,,,,,,,,,,,,,,,,537.0,,,,1146.0,,,,,,1506.0,,,,,,,,,218.0,,1138.0,
